"","states","avg_pci","avg_price","price_category"
"1","Massachusetts",47331,688076.630914496,"High"
"2","Hawaii",45515,608900,"High"
"3","District of Columbia",NA,575700,"High"
"4","California",56791,524400,"High"
"5","Vermont",33281,456413.65625668,"High"
"6","Connecticut",48721,427324.752137055,"High"
"7","Washington",39911,408400,"High"
"8","Rhode Island",40293,390751.427288078,"Medium"
"9","Wyoming",43444,387950,"Medium"
"10","Colorado",51814,383500,"Medium"
"11","New Hampshire",38399,381783.93264778,"Medium"
"12","Oregon",32781,359600,"Medium"
"13","Georgia",36757,352601.8,"Medium"
"14","Utah",42462,330100,"Medium"
"15","Maine",32880,329255.024815825,"Medium"
"16","New York",76592,324800,"Medium"
"17","Virginia",62018,320982.258064516,"Medium"
"18","New Jersey",50349,312100,"Medium"
"19","Pennsylvania",42210,302587.079502137,"Medium"
"20","Montana",33062,302400,"Medium"
"21","Nevada",34123,299100,"Medium"
"22","Idaho",35524,285100,"Medium"
"23","Maryland",49038,283000,"Medium"
"24","Arizona",27256,265800,"Medium"
"25","Minnesota",37485,253800,"Medium"
"26","Florida",36836,247600,"Medium"
"27","Delaware",32406,243500,"Medium"
"28","Texas",50042,239900,"Medium"
"29","North Dakota",38738,222300,"Medium"
"30","North Carolina",34465,221900,"Medium"
"31","New Mexico",51044,220300,"Medium"
"32","South Dakota",36167,211300,"Medium"
"33","Illinois",38570,200200,"Medium"
"34","Kansas",38827,198700,"Low"
"35","Wisconsin",42041,197200,"Low"
"36","Nebraska",31517,186000,"Low"
"37","Louisiana",30363,182900,"Low"
"38","Missouri",35143,177200,"Low"
"39","Mississippi",33170,175300,"Low"
"40","Kentucky",33591,170100,"Low"
"41","Michigan",36458,170100,"Low"
"42","Alabama",33313,168800,"Low"
"43","Indiana",39521,162300,"Low"
"44","Iowa",35844,160300,"Low"
"45","Arkansas",27414,156800,"Low"
"46","Oklahoma",27676,154900,"Low"
"47","Ohio",40189,152000,"Low"
"48","Tennessee",41292,121150,"Low"
"49","South Carolina",32503,107975,"Low"
"50","West Virginia",29605,103950,"Low"
"51","Alaska",46457,NA,NA
